Lineages	FT100061567_L01_UDB-393	FT100061567_L01_UDB-394	FT100061567_L01_UDB-396	FT100061567_L01_UDB-397	FT100061567_L01_UDB-400	FT100061567_L01_UDB-403	sum
EG.5.1.8	3.8244419012485594e-11	1.8747198610333592e-09	6.615656446583616e-11	0.9937694579855424	0.08172678463132267	1.5380846652556837e-09	1.0754962461340707
BA.5.2.6	2.2065020926435435e-10	0.999999982310069	4.0316495372587926e-10	1.4490621233277456e-09	4.2909926624058003e-10	3.2032771333815234e-09	0.9999999880153226
JN.1.1	0.0	0.0	2.2914685490595853e-11	0.0	0.0	0.9961671969952458	0.9961671970181605
BE.1	0.16666666708658556	3.4408839611975526e-10	0.16666666612181213	0.0	0.0	4.853776697974803e-09	0.3333333384062628
BA.5.2.36	0.1666666670870204	3.440883961197626e-10	0.16666666612045883	0.0	0.0	4.853776697974899e-09	0.33333333840534435
BA.5.3.1	0.16666666708681022	3.440883961197846e-10	0.16666666612028072	0.0	0.0	4.853776697974803e-09	0.33333333840495605
BE.1.1.1	0.16666666624932094	3.440883961197626e-10	0.1666666659692468	0.0	0.0	4.853776697974803e-09	0.3333333374164329
BE.1.1	0.16666666601935726	3.4408839611970397e-10	0.16666666613732195	0.0	0.0	4.853776697974803e-09	0.3333333373545443
BA.5.2	0.1666666659302915	3.4408839611971126e-10	0.16666666610795533	0.0	0.0	4.853776697974803e-09	0.3333333372361119
HK.3	0.0	0.0	0.0	8.36191403867484e-09	0.322645290762269	0.0	0.32264529912418305
HK.3.1	0.0	0.0	0.0	8.36191403867484e-09	0.32264529052911256	0.0	0.3226452988910266
BA.2.1	0.0	0.0	3.16502161488388e-10	0.0	0.07387246273349392	0.0	0.07387246304999608
XBB.1.5	0.0	4.957301433258788e-10	0.0	0.001008068838784419	0.07197321373747192	4.774039189168837e-09	0.07298128784602569
XBB.1.5.59	0.0	4.957301433259155e-10	0.0	0.001008068838784419	0.07197321373747192	4.774039189168837e-09	0.07298128784602569
BM.1	3.6809196462918383e-11	3.750772329915668e-10	2.516337800684655e-10	0.0	0.025295528656396993	4.322028748939183e-09	0.025295533641945953
BA.2.75.7	3.6809196462908186e-11	3.750772329916108e-10	2.5163378006846235e-10	0.0	0.02529552865639694	4.322028748939183e-09	0.0252955336419459
BA.2.86	0.0	3.0096761741984184e-10	0.0	7.363828616675694e-10	2.52365315863982e-10	0.003832790328862492	0.003832791618578287
BM.1.1	0.0	9.45151924334119e-10	0.0	1.4941956981794308e-09	0.002286345344772097	2.9528716374832995e-09	0.0022863507369913568
BY.1	0.0	9.451519243342364e-10	0.0	1.494195698179456e-09	0.002286345344772096	2.9528716374832995e-09	0.0022863507369913555
XBB.1	0.0	0.0	0.0	0.002116995569210962	0.0	1.4627686583330883e-09	0.0021169970319796206
XBB.2.4	0.0	9.610953403740836e-09	0.0	0.0020973958287684833	0.0	0.0	0.002097405439721887
BM.1.1.1	0.0	5.694342382335392e-09	0.0	2.0249476432035548e-08	0.0	0.0	2.594381881437094e-08
XBB.1.3	0.0	0.0	0.0	3.996419039424597e-09	0.0	1.9114188240424233e-08	2.311060727984883e-08
HK.23	3.87188539074794e-12	0.0	2.120580882780955e-11	0.0	0.0	1.9563153077281596e-08	1.9588230771500154e-08
BQ.1.27	0.0	2.877989759931011e-09	0.0	1.1497610481042324e-08	1.4620106880384948e-09	0.0	1.583761092901183e-08
XBB.1.5.28	0.0	3.7018875743075566e-10	1.6103051038008921e-09	1.140358526014207e-08	6.324419632699271e-10	1.1079820036702152e-09	1.512450308831386e-08
HK.2.1	0.0	5.991221679068723e-09	0.0	3.4209428691975365e-09	4.065189784153293e-10	0.0	9.81868352668159e-09
FL.35	0.0	1.3764679980617698e-10	0.0	0.0	0.0	7.0715694963944765e-09	7.209216296200653e-09
BA.2.73	3.5819282217049683e-11	0.0	3.197471010865496e-10	2.7519655250283832e-09	0.0	2.8392633166953025e-09	5.946795225027285e-09
BQ.1.22	1.2921873782637838e-10	0.0	4.071093541474905e-11	0.0	0.0	4.1578212898395784e-09	4.327750963080706e-09
FL.35.1	2.670921447483313e-10	4.886440942175976e-11	4.276885948393509e-10	0.0	0.0	2.20192558008847e-09	2.945570729097912e-09
XBB.1.22	0.0	2.7055061677362817e-10	0.0	3.376708068003736e-10	0.0	2.1363332016658735e-09	2.744554625239875e-09
CT.1	1.4361733603492618e-10	9.248287657414239e-10	6.757855642797262e-10	6.166354685403906e-10	5.50930090105709e-11	0.0	2.4159601436070375e-09
FL.25	4.964266548269676e-12	0.0	0.0	0.0	0.0	2.1480432839577103e-09	2.15300755050598e-09
JN.1.16.1	0.0	4.811224260020903e-10	0.0	1.269836571225071e-09	2.3950180199417064e-10	0.0	1.990460799221332e-09
JN.1.18	0.0	4.811224260020462e-10	0.0	1.269836571225071e-09	2.3950180199371306e-10	0.0	1.9904607992208302e-09
BQ.1.1.17	0.0	4.332557841037987e-11	1.7937267805670233e-09	0.0	0.0	0.0	1.837052358977403e-09
BA.2.10	2.290018384087414e-11	0.0	3.1638116160054676e-10	0.0	0.0	1.472793427393471e-09	1.8120747728348918e-09
BM.2.2	0.0	1.4378907598223163e-10	0.0	1.293073086097128e-09	1.344051398376882e-10	0.0	1.5712673019170478e-09
BA.2.86.1	0.0	2.0027028633045428e-10	0.0	1.1718982737169896e-09	1.575859271964066e-10	0.0	1.5297544872438507e-09
XBB.1.9	3.7686518781027646e-10	0.0	2.5838984019123954e-10	0.0	0.0	0.0	6.352550280015161e-10
XDD	2.2178347787919486e-10	0.0	3.631097952719076e-10	0.0	0.0	0.0	5.848932731511025e-10
BA.2.75.6	0.0	0.0	0.0	5.092067698846361e-10	0.0	0.0	5.092067698846361e-10
BM.2	0.0	0.0	0.0	5.092067698846361e-10	0.0	0.0	5.092067698846361e-10
XBB.1.9.1	2.8567276806913136e-11	3.898530757753835e-10	0.0	0.0	0.0	0.0	4.184203525822966e-10
BA.2.75.3	5.623126512258479e-11	0.0	2.7604424725575555e-10	0.0	0.0	3.501246807422184e-11	3.6728798045256217e-10
BA.2.75	5.623126512256047e-11	0.0	2.7604424725565685e-10	0.0	0.0	3.50124680740856e-11	3.6728798045230296e-10
EG.2	2.0490535675046185e-11	0.0	2.059623470526349e-10	0.0	0.0	0.0	2.2645288272768107e-10
EG.5.1	7.21356502447288e-11	0.0	1.356109419985191e-10	0.0	0.0	0.0	2.077465922432479e-10
XBB.1.28	0.0	0.0	1.2844944499567932e-10	0.0	0.0	0.0	1.2844944499567932e-10
BM.5	0.0	0.0	9.022487623450054e-11	0.0	0.0	0.0	9.022487623450054e-11
BQ.1.31	3.9274492958744205e-11	0.0	3.187863586701827e-11	0.0	0.0	0.0	7.115312882576247e-11
BQ.1	3.927449295873322e-11	0.0	3.1878635866980464e-11	0.0	0.0	0.0	7.115312882571369e-11
BY.1.1	0.0	0.0	0.0	0.0	6.542926741973358e-11	0.0	6.542926741973358e-11
BQ.1.1.44	0.0	6.381773059658281e-11	0.0	0.0	0.0	0.0	6.381773059658281e-11
BQ.1.1.46	0.0	6.381773059603558e-11	0.0	0.0	0.0	0.0	6.381773059603558e-11
BQ.1.1	0.0	6.381773059540676e-11	0.0	0.0	0.0	0.0	6.381773059540676e-11
EG.5.1.1	8.436188200479129e-12	0.0	4.71900469913885e-11	0.0	0.0	0.0	5.562623519186763e-11
HK.19	8.4361882004654e-12	0.0	4.719004699138532e-11	0.0	0.0	0.0	5.5626235191850724e-11
JN.1.16	0.0	0.0	5.158768447412728e-11	0.0	0.0	0.0	5.158768447412728e-11
JN.1	0.0	0.0	5.1587684474111364e-11	0.0	0.0	0.0	5.1587684474111364e-11
HK.2	8.307440365062497e-12	0.0	3.0617773106548754e-11	0.0	0.0	0.0	3.892521347161125e-11
EG.5	2.5391723454281574e-11	0.0	0.0	0.0	0.0	0.0	2.5391723454281574e-11
XBB.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BA.2.75.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0
XBB.1.28.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HK.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0
XBB.1.9.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BQ.1.1.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0
XBB	0.0	0.0	0.0	0.0	0.0	0.0	0.0
